City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptions
80,Antalaha,MG,-14.9003,50.2788,76.75,91,44,7.65,scattered clouds
81,Macas,EC,-2.3167,-78.1167,78.55,65,40,5.75,scattered clouds
82,Sakaraha,MG,-22.9,44.5333,75.99,71,38,3.56,scattered clouds
83,Chokurdakh,RU,70.6333,147.9167,-5.51,99,100,4.79,overcast clouds
84,Severo-Kurilsk,RU,50.6789,156.125,26.47,73,22,11.27,few clouds
85,Busselton,AU,-33.65,115.3333,57.72,76,0,12.82,clear sky
86,Bengkulu,ID,-3.8004,102.2655,75.94,85,85,3.51,overcast clouds
87,Krasnokamensk,RU,50.0979,118.0369,19.26,76,7,3.31,clear sky
88,Ratzeburg,DE,53.7,10.7667,50.11,57,0,5.75,clear sky
89,Saint-Pierre,RE,-21.3393,55.4781,80.28,89,23,17.27,few clouds
90,Butaritari,KI,3.0707,172.7902,79.75,82,90,15.77,light rain
91,Bethel,US,41.3712,-73.414,48.18,41,98,1.01,overcast clouds
92,Provideniya,RU,64.3833,-173.3,6.51,70,4,5.39,clear sky
93,Georgetown,MY,5.4112,100.3354,82.33,87,20,3.44,light rain
94,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.99,79,100,2.24,shower snow
95,Yar-Sale,RU,66.8333,70.8333,4.05,98,84,5.95,broken clouds
96,Bluff,NZ,-46.6,168.3333,56.88,84,96,26.11,light rain
97,Dholka,IN,22.7167,72.4667,86.38,19,32,10.45,scattered clouds
98,Tuatapere,NZ,-46.1333,167.6833,56.71,90,100,13.85,overcast clouds
99,Verdikoussa,GR,39.7803,21.9722,35.17,59,3,2.24,clear sky
100,Jamestown,US,42.097,-79.2353,44.02,55,100,11.01,overcast clouds
101,Hambantota,LK,6.1241,81.1185,79.59,82,81,9.19,broken clouds
102,Poum,NC,-20.2333,164.0167,78.93,79,100,7.76,overcast clouds
103,Qiyang,CN,26.5911,111.8474,50.7,86,99,2.73,overcast clouds
104,Caldwell,US,43.6629,-116.6874,62.35,53,0,6.91,clear sky
105,Mahebourg,MU,-20.4081,57.7,80.89,78,20,6.91,few clouds
106,Linhares,BR,-19.3911,-40.0722,76.12,78,90,8.93,overcast clouds
107,Naze,JP,28.3667,129.4833,58.12,67,71,17.58,broken clouds
108,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,93,100,14.97,overcast clouds
109,Camana,PE,-16.6228,-72.7111,73.53,74,96,10.04,overcast clouds
110,Tiznit,MA,29.5833,-9.5,54.16,79,68,14.97,broken clouds
111,Muravlenko,RU,63.7898,74.523,13.24,96,99,9.33,overcast clouds
112,Marawi,PH,7.9986,124.2928,66.76,94,86,1.63,overcast clouds
113,Evans,US,33.5337,-82.1307,74.26,82,100,8.99,overcast clouds
114,Arica,CL,-18.475,-70.3042,80.15,60,0,16.11,clear sky
115,Waitati,NZ,-45.75,170.5667,58.32,92,44,5.26,scattered clouds
116,Sorland,NO,67.667,12.6934,41.34,94,100,18.1,light rain
117,Aksarka,RU,66.5606,67.7975,11.59,90,74,7.83,broken clouds
118,Paita,PE,-5.0892,-81.1144,80.4,62,36,15.52,scattered clouds
119,Muyezerskiy,RU,63.9333,31.65,32.32,91,65,10.65,broken clouds
120,Nikolskoye,RU,59.7035,30.7861,33.8,98,17,2.93,few clouds
121,Yuanping,CN,38.7153,112.7575,46.31,49,0,1.32,clear sky
122,Soe,ID,-9.8607,124.284,65.52,96,77,2.84,broken clouds
123,Ambunti,PG,-4.2365,142.8448,72.19,97,100,0.69,overcast clouds
124,Saskylakh,RU,71.9167,114.0833,-11.18,100,95,4.68,overcast clouds
125,Contamana,PE,-7.3333,-75.0167,91.11,52,81,5.06,broken clouds
126,Katsuura,JP,35.1333,140.3,45.27,94,100,16.24,overcast clouds
127,Alyangula,AU,-13.8483,136.4192,75.07,88,99,0.0,overcast clouds
128,Mehamn,NO,71.0357,27.8492,26.55,86,75,17.27,light snow
129,Shelburne,CA,44.0787,-80.2041,34.59,78,100,20.76,overcast clouds
130,Ardatov,RU,55.2421,43.097,29.59,98,52,6.35,broken clouds
131,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,55,10.87,light rain
